split,idx,lex_pos,lex_neg,pragmatic,pragmatic_dir,irony_prob
within,141,1,0,0,,0.69914645
within,142,0,1,1,A_joking_complaint,0.3091451
within,143,4,0,0,,0.19068715
within,144,1,0,0,,0.17976788
within,145,0,0,0,,0.17801529
within,146,2,0,0,,0.91013974
within,147,1,0,0,,0.9374575
within,148,1,1,0,,0.38769042
within,149,1,0,0,,0.40691677
within,150,1,0,0,,0.13641489
within,151,1,1,0,,0.7272091
within,152,1,1,0,,0.13714644
within,153,4,1,0,,0.10659937
within,154,0,0,0,,0.10674778
within,155,2,0,0,,0.45780104
within,156,3,0,0,,0.7043415
within,157,1,0,0,,0.23872435
within,158,1,0,0,,0.92142844
within,159,2,0,0,,0.9274621
within,160,1,0,0,,0.054119285
within,161,2,0,0,,0.38792092
within,162,1,0,0,,0.13069119
within,163,0,0,0,,0.10075445
within,164,0,0,0,,0.07706057
within,165,1,0,0,,0.96010286
within,166,1,0,0,,0.035056356
within,167,0,0,0,,0.05528638
within,168,1,0,0,,0.9789797
within,169,2,0,0,,0.10006502
within,170,0,0,0,,0.2949648
within,171,1,0,0,,0.20620616
within,172,2,0,0,,0.32383996
within,173,0,1,1,A_joking_complaint,0.19803439
within,174,0,0,0,,0.59883434
within,175,0,0,0,,0.3553629
within,176,3,0,0,,0.6412051
within,177,1,0,0,,0.75679314
within,178,0,0,0,,0.07886256
within,179,2,0,0,,0.07585842
within,180,2,0,0,,0.15510552
within,181,0,0,0,,0.13125505
within,182,3,2,0,,0.042097703
within,183,0,0,0,,0.2814208
within,184,0,0,0,,0.119272456
within,185,4,0,0,,0.46152222
within,186,4,0,0,,0.1296765
within,187,0,0,0,,0.054226
within,188,1,0,0,,0.694191
within,189,2,0,0,,0.0789662
within,190,1,1,0,,0.16312031
within,191,2,0,0,,0.47251275
within,192,0,0,0,,0.09369613
within,193,0,0,0,,0.17668001
within,194,0,0,0,,0.08832268
within,195,1,0,0,,0.5737462
within,196,0,0,0,,0.22294533
within,197,0,0,0,,0.15683624
within,198,1,0,0,,0.30158138
within,199,0,1,1,A_joking_complaint,0.057892226
within,200,0,0,0,,0.06183763
within,201,2,0,0,,0.027766168
within,202,1,0,0,,0.23749003
within,203,0,0,0,,0.061614264
within,204,1,0,0,,0.080493666
within,205,0,1,1,A_joking_complaint,0.24855863
within,206,1,0,0,,0.2617374
within,207,4,0,0,,0.0386808
within,208,1,0,0,,0.8665108
within,209,2,0,0,,0.6513127
within,210,2,2,0,,0.8401069
within,211,1,0,0,,0.06982759
within,212,0,3,1,A_joking_complaint,0.3335496
within,213,0,1,1,A_joking_complaint,0.82827383
within,214,1,1,0,,0.07147044
within,215,3,0,0,,0.4963503
within,216,0,1,1,A_joking_complaint,0.39646754
within,217,0,0,0,,0.95710075
within,218,0,0,0,,0.14857781
within,219,0,0,0,,0.7361742
within,220,1,0,0,,0.51413655
within,221,2,1,0,,0.9791403
within,222,0,0,0,,0.7109903
within,223,4,1,0,,0.5242502
within,224,1,4,0,,0.47954804
within,225,2,0,0,,0.05830939
within,226,2,0,0,,0.8570209
within,227,0,0,0,,0.048872866
within,228,0,0,0,,0.2220417
within,229,0,2,1,A_joking_complaint,0.47144037
within,230,0,0,0,,0.16671304
within,231,0,0,0,,0.32758176
within,232,2,0,0,,0.4617875
within,233,3,0,0,,0.76392525
within,234,1,0,0,,0.01910368
within,235,0,0,0,,0.063746996
within,236,1,0,0,,0.06950879
within,237,2,0,0,,0.83269536
within,238,0,0,0,,0.3532605
within,239,1,0,0,,0.1809089
within,240,0,0,0,,0.38621962
within,241,0,0,0,,0.11194793
within,242,3,0,0,,0.42602307
within,243,2,0,0,,0.3133348
within,244,1,0,0,,0.5271704
within,245,2,0,0,,0.87629104
within,246,1,0,0,,0.87384194
within,247,0,1,1,A_joking_complaint,0.13497414
within,248,1,2,0,,0.17687109
within,249,2,2,0,,0.06394065
within,250,0,0,0,,0.055149496
within,251,1,0,0,,0.25180656
within,252,0,0,0,,0.056603108
within,253,2,0,0,,0.37619084
within,254,1,2,0,,0.484431
within,255,0,0,0,,0.24326295
within,256,0,0,0,,0.7771688
within,257,2,0,0,,0.22732796
within,258,0,0,0,,0.05453718
within,259,0,1,1,A_joking_complaint,0.024997877
within,260,1,0,0,,0.23755363
within,261,0,0,0,,0.03394781
within,262,2,0,0,,0.09607062
within,263,2,0,0,,0.85160697
within,264,0,1,1,A_joking_complaint,0.31079343
within,265,0,2,1,A_joking_complaint,0.30605292
within,266,0,0,0,,0.27893534
within,267,0,0,0,,0.07047075
within,268,1,0,0,,0.5791893
within,269,1,1,0,,0.066793814
within,270,1,0,0,,0.74283665
within,271,1,1,0,,0.36164853
within,272,0,0,0,,0.062328767
within,273,0,0,0,,0.6647722
within,274,3,0,0,,0.093377486
within,275,0,1,1,A_joking_complaint,0.2545096
within,276,0,0,0,,0.7981808
within,277,1,0,0,,0.2748309
within,278,2,0,0,,0.5459654
within,279,1,0,0,,0.8873052
within,280,1,0,0,,0.6067018
within,281,1,1,0,,0.08785331
within,282,3,0,0,,0.044515844
within,283,2,0,0,,0.2573119
within,284,1,0,0,,0.9855172
within,285,0,0,0,,0.61957103
within,286,0,0,0,,0.085763924
within,287,2,1,0,,0.39237595
within,288,2,0,0,,0.05790046
within,289,0,0,0,,0.04084997
within,290,1,0,0,,0.032672957
within,291,1,1,0,,0.7393872
within,292,0,0,0,,0.1567806
within,293,0,1,1,A_joking_complaint,0.2482047
within,294,1,0,0,,0.20468482
within,295,0,0,0,,0.14398786
within,296,1,0,0,,0.5650207
within,297,2,0,0,,0.65932894
within,298,0,0,0,,0.28685477
within,299,2,0,0,,0.71641254
within,300,1,0,0,,0.9762132
within,301,1,0,0,,0.02897748
within,302,0,0,0,,0.088112615
within,303,0,0,0,,0.056126107
within,304,1,0,0,,0.068556115
within,305,0,2,1,A_joking_complaint,0.06010531
within,306,0,0,0,,0.21903558
within,307,2,0,0,,0.55472124
within,308,0,0,0,,0.7349777
within,309,0,0,0,,0.6484779
within,310,2,0,0,,0.19171266
within,311,0,1,1,A_joking_complaint,0.09392189
within,312,0,0,0,,0.39538354
within,313,0,0,0,,0.12003693
within,314,3,0,0,,0.104598455
within,315,2,0,0,,0.704057
within,316,1,0,0,,0.23551066
within,317,0,0,0,,0.1010426
within,318,0,1,1,A_joking_complaint,0.31795686
within,319,2,0,0,,0.19182271
within,320,3,0,0,,0.97910666
within,321,1,3,0,,0.09595278
within,322,1,0,0,,0.72914785
within,323,0,0,0,,0.08071232
within,324,0,0,0,,0.044256575
within,325,1,2,0,,0.104717664
within,326,1,0,0,,0.08437043
within,327,1,0,0,,0.691654
within,328,2,0,0,,0.94809103
within,329,1,1,0,,0.40263206
within,330,0,1,1,A_joking_complaint,0.26097852
within,331,2,0,0,,0.67074156
within,332,0,0,0,,0.84805715
within,333,1,1,0,,0.04898188
within,334,1,0,0,,0.97766906
within,335,1,1,0,,0.24475887
within,336,0,0,0,,0.9011593
within,337,1,0,0,,0.9926238
within,338,0,1,1,A_joking_complaint,0.39870578
within,339,1,0,0,,0.634757
within,340,3,0,0,,0.35938025
within,341,1,1,0,,0.46291822
within,342,1,0,0,,0.085098185
within,343,0,0,0,,0.57934606
within,344,1,0,0,,0.4879182
within,345,0,0,0,,0.34688932
within,346,1,0,0,,0.41220185
within,347,0,0,0,,0.5481459
within,348,0,2,1,A_joking_complaint,0.4623995
within,349,0,0,0,,0.771394
within,350,3,0,0,,0.04045169
within,351,1,0,0,,0.09884394
within,352,0,0,0,,0.2821475
within,353,1,1,0,,0.6139236
within,354,1,0,0,,0.93085164
within,355,1,0,0,,0.29874548
within,356,1,0,0,,0.63270247
within,357,0,1,1,A_joking_complaint,0.6550775
within,358,3,0,0,,0.07809127
within,359,2,0,0,,0.5182323
within,360,0,0,0,,0.13508265
within,361,5,0,0,,0.08411462
within,362,1,2,0,,0.9191577
within,363,0,0,0,,0.023132049
within,364,1,0,0,,0.85538155
within,365,1,1,0,,0.456191
within,366,2,0,0,,0.060306307
within,367,0,0,0,,0.032853357
within,368,1,2,0,,0.09940756
within,369,3,0,0,,0.038325608
within,370,0,1,1,A_joking_complaint,0.041815817
within,371,0,0,0,,0.1648337
within,372,4,0,0,,0.08520191
within,373,0,0,0,,0.26707926
within,374,0,1,1,A_joking_complaint,0.11239169
within,375,0,1,1,A_joking_complaint,0.18902186
within,376,0,0,0,,0.5322754
within,377,0,0,0,,0.1223545
within,378,0,1,1,A_joking_complaint,0.43096727
within,379,1,0,0,,0.17809018
within,380,1,0,0,,0.060170617
within,381,3,0,0,,0.10041725
within,382,0,0,0,,0.107388824
within,383,2,0,0,,0.52527565
within,384,0,0,0,,0.06880799
within,385,0,0,0,,0.19574136
within,386,1,0,0,,0.9027347
within,387,1,0,0,,0.23909636
within,388,0,0,0,,0.6730907
within,389,0,0,0,,0.67140335
within,390,1,0,0,,0.89207274
within,391,1,0,0,,0.19830698
within,392,0,0,0,,0.58290935
within,393,1,0,0,,0.16245869
within,394,1,0,0,,0.93563056
within,395,0,0,0,,0.1749387
within,396,0,0,0,,0.8564702
within,397,3,0,0,,0.46370924
within,398,2,1,0,,0.8929575
within,399,0,1,1,A_joking_complaint,0.13162744
within,400,1,0,0,,0.08431075
within,401,4,0,0,,0.064804845
within,402,1,0,0,,0.04104655
within,403,0,0,0,,0.05833761
within,404,1,0,0,,0.12604347
within,405,1,0,0,,0.067702785
within,406,0,0,0,,0.18792388
within,407,0,0,0,,0.44748837
within,408,0,0,0,,0.2804959
within,409,1,0,0,,0.9566154
within,410,0,0,0,,0.16366488
within,411,0,0,0,,0.5685766
within,412,2,1,0,,0.7973566
within,413,3,0,0,,0.5908467
within,414,0,0,0,,0.14197814
within,415,0,1,1,A_joking_complaint,0.030111117
within,416,2,1,0,,0.06797114
within,417,1,0,0,,0.590607
within,418,0,1,1,A_joking_complaint,0.9044489
within,419,3,0,0,,0.9635638
within,420,2,0,0,,0.05806393
within,421,1,0,0,,0.9455718
within,422,1,0,0,,0.8944394
within,423,2,0,0,,0.067450434
within,424,0,0,0,,0.05903139
within,425,0,0,0,,0.035045873
within,426,1,0,0,,0.48331606
within,427,1,0,0,,0.84628737
within,428,1,1,0,,0.76883453
within,429,1,1,0,,0.07935334
within,430,1,1,0,,0.099671185
within,431,1,1,0,,0.8249191
within,432,2,0,0,,0.11753998
within,433,0,0,0,,0.049681712
within,434,1,1,0,,0.049212728
within,435,3,1,0,,0.43630454
within,436,0,0,0,,0.15057348
within,437,1,1,0,,0.9451156
within,438,2,1,0,,0.9193783
within,439,1,0,0,,0.07388852
within,440,1,2,0,,0.81838626
within,441,1,0,0,,0.50999355
within,442,1,0,0,,0.43794113
within,443,1,0,0,,0.05637514
within,444,0,1,1,A_joking_complaint,0.5791448
within,445,0,0,0,,0.14921047
within,446,0,1,1,A_joking_complaint,0.7274122
within,447,0,0,0,,0.1068083
within,448,3,0,0,,0.18125986
within,449,0,0,0,,0.05305565
within,450,0,0,0,,0.7842931
within,451,0,1,1,A_joking_complaint,0.5824404
within,452,1,1,0,,0.4376246
within,453,2,0,0,,0.98322934
within,454,0,0,0,,0.1696915
within,455,0,2,0,,0.7059719
within,456,0,1,0,,0.22764243
within,457,0,1,0,,0.16752297
within,458,1,0,1,B_sarcasm,0.37053505
within,459,0,2,0,,0.16616733
within,460,0,1,0,,0.42680112
within,461,0,1,0,,0.13611595
within,462,0,3,0,,0.7245168
within,463,0,1,0,,0.037126254
within,464,1,0,1,B_sarcasm,0.30475456
within,465,0,1,0,,0.87154824
within,466,0,1,0,,0.06536205
within,467,2,0,1,B_sarcasm,0.33862796
within,468,0,2,0,,0.31139103
within,469,1,0,1,B_sarcasm,0.0927918
within,470,0,1,0,,0.6087179
within,471,0,1,0,,0.029624075
within,472,1,1,0,,0.1456966
within,473,0,0,0,,0.6428587
within,474,0,0,0,,0.20499097
within,475,1,0,1,B_sarcasm,0.12646095
within,476,1,2,0,,0.087628454
within,477,1,1,0,,0.4331073
within,478,1,0,1,B_sarcasm,0.08152157
within,479,1,0,1,B_sarcasm,0.16165826
within,480,0,0,0,,0.92188513
within,481,0,1,0,,0.22262107
within,482,0,0,0,,0.11457238
within,483,0,0,0,,0.06566178
within,484,0,1,0,,0.052267637
within,485,1,0,1,B_sarcasm,0.04451167
within,486,3,0,1,B_sarcasm,0.083338566
within,487,0,0,0,,0.21757405
within,488,0,1,0,,0.23416634
within,489,0,0,0,,0.02892633
within,490,0,1,0,,0.26662597
within,491,1,0,1,B_sarcasm,0.08971783
within,492,1,1,0,,0.08054224
within,493,0,1,0,,0.2439252
within,494,0,1,0,,0.47701603
within,495,0,1,0,,0.1917216
within,496,0,1,0,,0.3012097
within,497,0,0,0,,0.079305135
within,498,1,1,0,,0.09182738
within,499,0,1,0,,0.39941907
within,500,1,1,0,,0.34940574
within,501,0,2,0,,0.056122985
within,502,0,1,0,,0.07121339
within,503,1,1,0,,0.09159433
within,504,1,1,0,,0.7151678
within,505,0,0,0,,0.5771085
within,506,0,0,0,,0.098910496
within,507,0,0,0,,0.13810295
within,508,0,0,0,,0.5030021
within,509,1,2,0,,0.24078162
within,510,0,0,0,,0.04858307
within,511,0,5,0,,0.3970763
within,512,0,0,0,,0.05081631
within,513,1,1,0,,0.32441023
within,514,1,1,0,,0.20909588
within,515,0,0,0,,0.08474351
within,516,0,0,0,,0.846614
within,517,0,0,0,,0.46165422
within,518,0,0,0,,0.051001973
within,519,0,3,0,,0.07331321
within,520,0,1,0,,0.053350803
within,521,0,1,0,,0.08660582
within,522,1,1,0,,0.08734087
within,523,1,0,1,B_sarcasm,0.5581103
within,524,1,0,1,B_sarcasm,0.58015764
within,525,0,1,0,,0.44882396
within,526,0,0,0,,0.23377074
within,527,0,1,0,,0.16073804
within,528,1,0,1,B_sarcasm,0.059770163
within,529,0,1,0,,0.3759551
within,530,1,1,0,,0.065119416
within,531,2,2,0,,0.47159284
within,532,1,1,0,,0.034036025
within,533,1,1,0,,0.25196725
within,534,1,2,0,,0.06564265
within,535,0,0,0,,0.030685768
within,536,0,0,0,,0.19069162
within,537,0,1,0,,0.88998926
within,538,0,1,0,,0.1346704
within,539,0,0,0,,0.1380032
within,540,0,1,0,,0.30700502
within,541,0,0,0,,0.7076111
within,542,2,1,0,,0.98372114
within,543,1,0,1,B_sarcasm,0.8114235
within,544,1,0,1,B_sarcasm,0.14041436
within,545,0,1,0,,0.3206891
within,546,1,2,0,,0.07447336
within,547,1,0,1,B_sarcasm,0.4581381
within,548,0,1,0,,0.9686632
within,549,0,1,0,,0.60590404
within,550,1,4,0,,0.5606313
within,551,0,2,0,,0.06524891
within,552,2,0,1,B_sarcasm,0.38522798
within,553,0,0,0,,0.32087195
within,554,2,0,1,B_sarcasm,0.7445344
within,555,0,1,0,,0.7339166
within,556,0,1,0,,0.20539138
within,557,1,0,1,B_sarcasm,0.1345145
within,558,1,1,0,,0.7379285
within,559,0,0,0,,0.36890996
within,560,1,2,0,,0.22267978
within,561,1,1,0,,0.20088616
within,562,1,0,1,B_sarcasm,0.036230605
within,563,0,0,0,,0.35157064
within,564,0,0,0,,0.37584564
within,565,0,1,0,,0.10861728
within,566,1,0,1,B_sarcasm,0.049174376
within,567,0,3,0,,0.22934681
within,568,1,1,0,,0.028985605
within,569,0,2,0,,0.6485116
within,570,3,1,0,,0.042369217
within,571,1,1,0,,0.23427805
within,572,1,2,0,,0.1352468
within,573,0,1,0,,0.08542216
within,574,1,1,0,,0.7905084
within,575,0,0,0,,0.15166745
within,576,0,3,0,,0.051612865
within,577,0,0,0,,0.068689555
within,578,0,0,0,,0.13013408
within,579,1,0,1,B_sarcasm,0.05080041
within,580,0,0,0,,0.02293558
within,581,0,0,0,,0.4428423
within,582,0,2,0,,0.46044275
within,583,1,1,0,,0.19195127
within,584,0,1,0,,0.3965417
within,585,1,2,0,,0.9483174
within,586,0,2,0,,0.70423657
within,587,1,1,0,,0.3829897
within,588,0,3,0,,0.8001726
within,589,0,1,0,,0.14353608
within,590,0,1,0,,0.21902642
within,591,1,1,0,,0.2706231
within,592,0,0,0,,0.93779266
within,593,1,1,0,,0.697299
within,594,0,3,0,,0.032074563
within,595,0,1,0,,0.050238404
within,596,1,1,0,,0.027745936
within,597,0,0,0,,0.5489397
within,598,0,0,0,,0.3049412
within,599,0,1,0,,0.122692145
within,600,0,0,0,,0.27398866
within,601,0,1,0,,0.11473522
within,602,0,2,0,,0.377349
within,603,0,0,0,,0.060477745
within,604,0,0,0,,0.4869038
within,605,0,1,0,,0.13042283
within,606,0,3,0,,0.039151322
within,607,0,0,0,,0.5364436
within,608,0,0,0,,0.094818756
within,609,0,1,0,,0.09002586
within,610,1,1,0,,0.2280796
within,611,1,1,0,,0.09788094
within,612,0,0,0,,0.38104293
within,613,0,1,0,,0.06366224
within,614,0,1,0,,0.048588928
within,615,1,1,0,,0.08447475
within,616,2,3,0,,0.23657306
within,617,0,2,0,,0.04133563
within,618,0,3,0,,0.8179929
within,619,0,2,0,,0.43629226
within,620,0,3,0,,0.52735615
within,621,1,1,0,,0.26099834
within,622,1,1,0,,0.6839334
within,623,0,1,0,,0.32560843
within,624,1,1,0,,0.5470331
within,625,0,1,0,,0.37554464
within,626,0,2,0,,0.9357636
within,627,1,1,0,,0.69779605
within,628,1,1,0,,0.49434468
within,629,2,2,0,,0.029442893
within,630,1,1,0,,0.39672628
within,631,1,0,1,B_sarcasm,0.27545336
within,632,1,0,1,B_sarcasm,0.7175173
within,633,0,0,0,,0.39171967
within,634,1,1,0,,0.09303462
within,635,0,0,0,,0.23116069
within,636,1,1,0,,0.14749478
within,637,1,1,0,,0.19292332
within,638,0,0,0,,0.07217812
within,639,1,0,1,B_sarcasm,0.56768334
within,640,0,1,0,,0.073568106
within,641,0,1,0,,0.37207502
within,642,0,0,0,,0.09656646
within,643,0,1,0,,0.1265333
within,644,4,0,1,B_sarcasm,0.091999464
within,645,0,0,0,,0.23284687
within,646,2,1,0,,0.15172341
within,647,0,0,0,,0.57496417
within,648,0,0,0,,0.08699668
within,649,0,0,0,,0.39446935
within,650,0,1,0,,0.042021953
within,651,0,0,0,,0.1715982
within,652,0,0,0,,0.10146345
within,653,1,1,0,,0.52809685
within,654,0,1,0,,0.43948135
within,655,1,1,0,,0.21966195
within,656,0,2,0,,0.7256889
within,657,0,0,0,,0.096999474
within,658,0,0,0,,0.06958084
within,659,0,1,0,,0.52915597
within,660,1,1,0,,0.7196399
within,661,0,2,0,,0.18087196
within,662,3,1,0,,0.2279245
within,663,2,0,1,B_sarcasm,0.069955334
within,664,0,1,0,,0.2133017
within,665,1,1,0,,0.64754397
within,666,0,0,0,,0.8353972
within,667,0,1,0,,0.3814853
within,668,0,1,0,,0.8709954
within,669,0,3,0,,0.22547318
within,670,0,0,0,,0.36955428
within,671,0,2,0,,0.35070077
within,672,2,0,1,B_sarcasm,0.41225177
within,673,1,1,0,,0.16426025
within,674,1,2,0,,0.3876675
within,675,0,0,0,,0.20465946
within,676,0,1,0,,0.093788736
within,677,1,0,1,B_sarcasm,0.05898912
within,678,0,1,0,,0.23607305
within,679,0,3,0,,0.13657054
within,680,0,2,0,,0.019272802
within,681,0,0,0,,0.049791265
within,682,0,1,0,,0.39811024
within,683,0,0,0,,0.11878869
within,684,1,0,1,B_sarcasm,0.73753715
within,685,1,3,0,,0.3154757
within,686,0,4,0,,0.10342645
within,687,0,0,0,,0.19805565
within,688,1,1,0,,0.058068678
within,689,0,1,0,,0.9400572
within,690,0,0,0,,0.12464643
within,691,0,0,0,,0.030098481
within,692,2,0,1,B_sarcasm,0.19763672
within,693,0,1,0,,0.10067184
within,694,0,1,0,,0.08599058
within,695,0,2,0,,0.9144042
within,696,1,1,0,,0.13125172
within,697,0,1,0,,0.7028477
within,698,0,2,0,,0.05188662
within,699,0,1,0,,0.080802485
within,700,0,0,0,,0.27376586
within,701,0,3,0,,0.14249082
within,702,0,3,0,,0.1247764
within,703,1,0,1,B_sarcasm,0.030721629
within,704,0,1,0,,0.052656006
within,705,0,1,0,,0.062443096
within,706,0,0,0,,0.041613333
within,707,0,2,0,,0.5287321
within,708,1,1,0,,0.04909636
within,709,0,0,0,,0.5862246
within,710,0,3,0,,0.53674746
within,711,0,1,0,,0.047732484
within,712,0,1,0,,0.44037545
within,713,0,0,0,,0.06655152
within,714,0,1,0,,0.6174236
within,715,1,1,0,,0.09681334
within,716,0,0,0,,0.23781638
within,717,0,0,0,,0.21841313
within,718,0,0,0,,0.22563198
within,719,1,0,1,B_sarcasm,0.2402865
within,720,0,1,0,,0.38393417
within,721,1,0,1,B_sarcasm,0.16805913
within,722,0,1,0,,0.27810907
within,723,1,0,1,B_sarcasm,0.3435769
within,724,0,0,0,,0.52897525
within,725,1,0,1,B_sarcasm,0.4182552
within,726,0,1,0,,0.4223367
within,727,1,4,0,,0.3301435
within,728,1,0,1,B_sarcasm,0.37462708
within,729,0,0,0,,0.09264495
within,730,0,1,0,,0.7459166
within,731,0,0,0,,0.16201366
within,732,1,0,1,B_sarcasm,0.3390421
within,733,1,1,0,,0.63293654
within,734,0,0,0,,0.2629592
within,735,1,1,0,,0.896396
within,736,0,2,0,,0.08093552
within,737,0,0,0,,0.45858908
within,738,1,2,0,,0.42565203
within,739,1,0,1,B_sarcasm,0.61884964
within,740,0,0,0,,0.038161546
within,741,0,1,0,,0.07349988
within,742,0,1,0,,0.07237132
within,743,1,1,0,,0.8374839
within,744,0,1,0,,0.39796627
within,745,0,2,0,,0.032883983
within,746,1,0,1,B_sarcasm,0.5549073
within,747,0,1,0,,0.38308376
within,748,0,1,0,,0.033422716
within,749,0,1,0,,0.07932591
within,750,1,3,0,,0.03366357
within,751,1,0,1,B_sarcasm,0.90643114
within,752,0,1,0,,0.36174956
within,753,1,2,0,,0.706929
within,754,0,0,0,,0.6939412
within,755,0,0,0,,0.07430177
within,756,0,0,0,,0.07373245
within,757,1,2,0,,0.29400244
within,758,0,0,0,,0.41709074
within,759,0,1,0,,0.21579617
within,760,0,2,0,,0.07560856
within,761,0,0,0,,0.61727643
within,762,0,1,0,,0.27582482
within,763,0,1,0,,0.13613982
within,764,0,0,0,,0.7702211
within,765,0,2,0,,0.12781635
within,766,1,0,1,B_sarcasm,0.30719677
within,767,0,1,0,,0.62353987
within,768,0,0,0,,0.13252503
within,769,0,1,0,,0.083354376
within,770,1,2,0,,0.057785902
within,771,0,0,0,,0.21007301
within,772,0,0,0,,0.8600442
within,773,0,1,0,,0.72962147
within,774,0,0,0,,0.62562144
within,775,0,1,0,,0.44177043
within,776,1,1,0,,0.25983733
within,777,0,2,0,,0.96549934
within,778,1,0,1,B_sarcasm,0.43384272
within,779,0,0,0,,0.041252747
within,780,1,1,0,,0.64593244
within,781,0,1,0,,0.8212892
